Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACDC,ProFrac Holding Corp. Class A Common Stock,$7.09,-0.25,-3.406%,1131522821.00,United States,2022,1431668,Energy,Oilfield Services/Equipment
APA,APA Corporation Common Stock,$30.51,0.25,0.826%,11325078415.00,United States,,5897397,Energy,Oil & Gas Production
AREC,American Resources Corporation Class A Common Stock,$1.27,0.03,2.419%,100558547.00,United States,,216107,Energy,Coal Mining
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$22.445,-0.035,-0.156%,2874351164.00,United States,1999,399212,Energy,Coal Mining
BLDP,Ballard Power Systems Inc. Common Shares,$2.88,0.04,1.408%,861225304.00,Canada,,2987718,Energy,Industrial Machinery/Components
BROG,Brooge Energy Limited Ordinary Shares,$1.03,-0.02,-1.905%,112875387.00,United Kingdom,2018,63363,Energy,Integrated oil Companies
BRY,Berry Corporation (bry) Common Stock,$7.70,0.03,0.391%,592430254.00,United States,2018,1126109,Energy,Oil & Gas Production
CHK,Chesapeake Energy Corporation Common Stock,$88.37,-0.25,-0.282%,11580752675.00,United States,,1195090,Energy,Oil & Gas Production
CHKEL,Chesapeake Energy Corporation Class C Warrants,$73.70,0.00,0.00%,9658271723.00,United States,,27,Energy,Oil & Gas Production
CHKEW,Chesapeake Energy Corporation Class A Warrants,$78.00,0.00,0.00%,10221780114.00,United States,,12,Energy,Oil & Gas Production
CHKEZ,Chesapeake Energy Corporation Class B Warrants,$77.64,2.58,3.437%,10174602667.00,United States,,407,Energy,Oil & Gas Production
CHRD,Chord Energy Corporation Common Stock,$180.22,1.54,0.862%,7467980509.00,United States,,980740,Energy,Oil & Gas Production
CLMT,Calumet Specialty Products Partners L.P. Common Units,$16.11,-0.20,-1.226%,1292394028.00,United States,2006,56145,Energy,Integrated oil Companies
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,$32.30,0.36,1.127%,1294862168.00,United States,,48092,Energy,Oil & Gas Production
EPSN,Epsilon Energy Ltd. Common Share,$5.34,-0.01,-0.187%,117016499.00,United States,,40466,Energy,Oil & Gas Production
FANG,Diamondback Energy Inc. Common Stock,$203.22,-0.46,-0.226%,36243013420.00,United States,2012,1389703,Energy,Oil & Gas Production
FCEL,FuelCell Energy Inc. Common Stock,$0.7617,-0.0278,-3.521%,344183327.00,United States,,84364183,Energy,Industrial Machinery/Components
FIP,FTAI Infrastructure Inc. Common Stock ,$7.51,0.17,2.316%,763720611.00,United States,,1516208,Energy,Oil Refining/Marketing
HNRG,Hallador Energy Company Common Stock,$5.73,0.26,4.753%,199891927.00,United States,,311790,Energy,Coal Mining
HPK,HighPeak Energy Inc. Common Stock,$14.34,-0.05,-0.347%,1841556036.00,United States,,334894,Energy,Oil & Gas Production
HPKEW,HighPeak Energy Inc. Warrant,$5.72,0.00,0.00%,734567680.00,United States,,49,Energy,Oil & Gas Production
HYZN,Hyzon Motors Inc. Class A Common Stock,$0.5644,-0.0073,-1.277%,138363786.00,United States,2020,133770,Energy,Industrial Machinery/Components
KGEI,Kolibri Global Energy Inc. Common stock,$3.27,-0.07,-2.096%,116495669.00,United States,,583,Energy,Oil & Gas Production
KLXE,KLX Energy Services Holdings Inc. Common Stock,$6.06,-0.57,-8.597%,101337247.00,United States,,621879,Energy,Oilfield Services/Equipment
LFUS,Littelfuse Inc. Common Stock,$255.99,-1.50,-0.583%,6344571100.00,United States,,149806,Energy,Electrical Products
METC,Ramaco Resources Inc. Class A Common Stock,$15.96,0.23,1.462%,847306138.00,United States,2017,618227,Energy,Coal Mining
METCB,Ramaco Resources Inc. Class B Common Stock,$12.49,0.75,6.388%,663086069.00,United States,,31427,Energy,Coal Mining
METCL,Ramaco Resources Inc. 9.00% Senior Notes due 2026,$25.45,0.02,0.079%,1351124136.00,United States,,5490,Energy,Coal Mining
MMLP,Martin Midstream Partners L.P. Limited Partnership,$2.86,-0.07,-2.389%,111543106.00,United States,2002,48530,Energy,Oil Refining/Marketing
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,$17.66,0.17,0.972%,12380914407.00,United States,1998,3234420,Energy,Natural Gas Distribution
PAGP,Plains GP Holdings L.P. Class A Units representing Limited Partner Interests,$18.52,0.25,1.368%,3650686809.00,United States,,3584868,Energy,Oil & Gas Production
PFIE,Profire Energy Inc. Common Stock,$1.915,0.085,4.645%,90185443.00,United States,,199082,Energy,Oil & Gas Production
PLUG,Plug Power Inc. Common Stock,$2.52,-0.12,-4.545%,1724322809.00,United States,1999,35657487,Energy,Industrial Machinery/Components
PNRG,PrimeEnergy Resources Corporation Common Stock,$103.91,1.38,1.346%,186024358.00,United States,,609,Energy,Oil & Gas Production
POWL,Powell Industries Inc. Common Stock,$158.12,0.36,0.228%,1895516945.00,United States,,189426,Energy,Electrical Products
PTEN,Patterson-UTI Energy Inc. Common Stock,$10.77,-0.23,-2.091%,4396230382.00,United States,1993,5116084,Energy,Oil & Gas Production
TUSK,Mammoth Energy Services Inc. Common Stock,$3.11,0.13,4.362%,149305872.00,United States,2016,28841,Energy,Oilfield Services/Equipment
VNOM,Viper Energy Inc. Class A Common Stock,$37.22,-0.22,-0.588%,6582553633.00,United States,2014,857899,Energy,Oil & Gas Production
VTNR,Vertex Energy Inc Common Stock,$1.38,-0.07,-4.828%,129049797.00,United States,,2319366,Energy,Integrated oil Companies
WWD,Woodward Inc. Common Stock,$178.14,1.69,0.958%,10852261188.00,United States,,501061,Energy,Industrial Machinery/Components
